id,nombre,departamento,salario,fecha_contratacion
53,Antonio García 53,RRHH,70645.51,2020-03-06
54,Laura Martín 54,Finanzas,68041.64,2020-03-21
55,María Pérez 55,Ingeniería,34933.69,2020-04-05
56,José López 56,Marketing,56389.75,2020-04-20
57,Carmen Ruiz 57,Ventas,58800.02,2020-05-05
58,Antonio García 58,RRHH,73187.96,2020-05-20
59,Laura Martín 59,Finanzas,38272.59,2020-06-04
60,María Pérez 60,Ingeniería,81075.9,2020-06-19
61,José López 61,Marketing,70184.59,2020-07-04
62,Carmen Ruiz 62,Ventas,69657.02,2020-07-19
63,Antonio García 63,RRHH,41047.92,2020-08-03
64,Laura Martín 64,Finanzas,80197.64,2020-08-18
65,María Pérez 65,Ingeniería,62029.65,2020-09-02
66,José López 66,Marketing,61710.9,2020-09-17
67,Carmen Ruiz 67,Ventas,31876.92,2020-10-02
68,Antonio García 68,RRHH,88703.47,2020-10-17
69,Laura Martín 69,Finanzas,86827.78,2020-11-01
70,María Pérez 70,Ingeniería,59703.01,2020-11-16
71,José López 71,Marketing,84932.23,2020-12-01
72,Carmen Ruiz 72,Ventas,54856.12,2020-12-16
73,Antonio García 73,RRHH,94416.06,2020-12-31
74,Laura Martín 74,Finanzas,85387.77,2021-01-15
75,María Pérez 75,Ingeniería,94842.62,2021-01-30
76,José López 76,Marketing,81333.52,2021-02-14
77,Carmen Ruiz 77,Ventas,55981.0,2021-03-01
78,Antonio García 78,RRHH,71799.91,2021-03-16
79,Laura Martín 79,Finanzas,60962.12,2021-03-31
80,María Pérez 80,Ingeniería,96744.86,2021-04-15
81,José López 81,Marketing,72032.42,2021-04-30
82,Carmen Ruiz 82,Ventas,93675.28,2021-05-15
83,Antonio García 83,RRHH,64331.01,2021-05-30
84,Laura Martín 84,Finanzas,63767.94,2021-06-14
85,María Pérez 85,Ingeniería,78430.61,2021-06-29
86,José López 86,Marketing,85460.49,2021-07-14
87,Carmen Ruiz 87,Ventas,73866.12,2021-07-29
88,Antonio García 88,RRHH,31097.21,2021-08-13
89,Laura Martín 89,Finanzas,93171.47,2021-08-28
90,María Pérez 90,Ingeniería,52267.22,2021-09-12
91,José López 91,Marketing,81265.64,2021-09-27
92,Carmen Ruiz 92,Ventas,58803.34,2021-10-12
93,Antonio García 93,RRHH,39317.53,2021-10-27
94,Laura Martín 94,Finanzas,75895.92,2021-11-11
95,María Pérez 95,Ingeniería,47373.09,2021-11-26
96,José López 96,Marketing,63247.2,2021-12-11
97,Carmen Ruiz 97,Ventas,88650.38,2021-12-26
98,Antonio García 98,RRHH,45678.38,2022-01-10
99,Laura Martín 99,Finanzas,46716.26,2022-01-25
100,María Pérez 100,Ingeniería,62733.83,2022-02-09
