id,nombre,email,ciudad,fecha_registro,canal_adquisicion,es_vip
54,Pablo Díaz 54,cliente54@email.com,Bilbao,2020-06-11,referido,False
55,Sara Vega 55,cliente55@email.com,Madrid,2020-06-14,email,False
56,Ana García 56,cliente56@email.com,Barcelona,2020-06-17,google,True
57,Luis Martín 57,cliente57@email.com,Valencia,2020-06-20,facebook,False
58,Eva López 58,cliente58@email.com,Sevilla,2020-06-23,organico,False
59,Carlos Ruiz 59,cliente59@email.com,Bilbao,2020-06-26,referido,False
60,Marta Soto 60,cliente60@email.com,Madrid,2020-06-29,email,False
61,Pablo Díaz 61,cliente61@email.com,Barcelona,2020-07-02,google,False
62,Sara Vega 62,cliente62@email.com,Valencia,2020-07-05,facebook,False
63,Ana García 63,cliente63@email.com,Sevilla,2020-07-08,organico,True
64,Luis Martín 64,cliente64@email.com,Bilbao,2020-07-11,referido,False
65,Eva López 65,cliente65@email.com,Madrid,2020-07-14,email,False
66,Carlos Ruiz 66,cliente66@email.com,Barcelona,2020-07-17,google,False
67,Marta Soto 67,cliente67@email.com,Valencia,2020-07-20,facebook,False
68,Pablo Díaz 68,cliente68@email.com,Sevilla,2020-07-23,organico,False
69,Sara Vega 69,cliente69@email.com,Bilbao,2020-07-26,referido,False
70,Ana García 70,cliente70@email.com,Madrid,2020-07-29,email,True
71,Luis Martín 71,cliente71@email.com,Barcelona,2020-08-01,google,False
72,Eva López 72,cliente72@email.com,Valencia,2020-08-04,facebook,False
73,Carlos Ruiz 73,cliente73@email.com,Sevilla,2020-08-07,organico,False
74,Marta Soto 74,cliente74@email.com,Bilbao,2020-08-10,referido,False
75,Pablo Díaz 75,cliente75@email.com,Madrid,2020-08-13,email,False
76,Sara Vega 76,cliente76@email.com,Barcelona,2020-08-16,google,False
77,Ana García 77,cliente77@email.com,Valencia,2020-08-19,facebook,True
78,Luis Martín 78,cliente78@email.com,Sevilla,2020-08-22,organico,False
79,Eva López 79,cliente79@email.com,Bilbao,2020-08-25,referido,False
80,Carlos Ruiz 80,cliente80@email.com,Madrid,2020-08-28,email,False
81,Marta Soto 81,cliente81@email.com,Barcelona,2020-08-31,google,False
82,Pablo Díaz 82,cliente82@email.com,Valencia,2020-09-03,facebook,False
83,Sara Vega 83,cliente83@email.com,Sevilla,2020-09-06,organico,False
84,Ana García 84,cliente84@email.com,Bilbao,2020-09-09,referido,True
85,Luis Martín 85,cliente85@email.com,Madrid,2020-09-12,email,False
86,Eva López 86,cliente86@email.com,Barcelona,2020-09-15,google,False
87,Carlos Ruiz 87,cliente87@email.com,Valencia,2020-09-18,facebook,False
88,Marta Soto 88,cliente88@email.com,Sevilla,2020-09-21,organico,False
89,Pablo Díaz 89,cliente89@email.com,Bilbao,2020-09-24,referido,False
90,Sara Vega 90,cliente90@email.com,Madrid,2020-09-27,email,False
91,Ana García 91,cliente91@email.com,Barcelona,2020-09-30,google,True
92,Luis Martín 92,cliente92@email.com,Valencia,2020-10-03,facebook,False
93,Eva López 93,cliente93@email.com,Sevilla,2020-10-06,organico,False
94,Carlos Ruiz 94,cliente94@email.com,Bilbao,2020-10-09,referido,False
95,Marta Soto 95,cliente95@email.com,Madrid,2020-10-12,email,False
96,Pablo Díaz 96,cliente96@email.com,Barcelona,2020-10-15,google,False
97,Sara Vega 97,cliente97@email.com,Valencia,2020-10-18,facebook,False
98,Ana García 98,cliente98@email.com,Sevilla,2020-10-21,organico,True
99,Luis Martín 99,cliente99@email.com,Bilbao,2020-10-24,referido,False
100,Eva López 100,cliente100@email.com,Madrid,2020-10-27,email,False
101,Carlos Ruiz 101,cliente101@email.com,Barcelona,2020-10-30,google,False
102,Marta Soto 102,cliente102@email.com,Valencia,2020-11-02,facebook,False
103,Pablo Díaz 103,cliente103@email.com,Sevilla,2020-11-05,organico,False
104,Sara Vega 104,cliente104@email.com,Bilbao,2020-11-08,referido,False
105,Ana García 105,cliente105@email.com,Madrid,2020-11-11,email,True
106,Luis Martín 106,cliente106@email.com,Barcelona,2020-11-14,google,False
107,Eva López 107,cliente107@email.com,Valencia,2020-11-17,facebook,False
108,Carlos Ruiz 108,cliente108@email.com,Sevilla,2020-11-20,organico,False
109,Marta Soto 109,cliente109@email.com,Bilbao,2020-11-23,referido,False
110,Pablo Díaz 110,cliente110@email.com,Madrid,2020-11-26,email,False
111,Sara Vega 111,cliente111@email.com,Barcelona,2020-11-29,google,False
112,Ana García 112,cliente112@email.com,Valencia,2020-12-02,facebook,True
113,Luis Martín 113,cliente113@email.com,Sevilla,2020-12-05,organico,False
114,Eva López 114,cliente114@email.com,Bilbao,2020-12-08,referido,False
115,Carlos Ruiz 115,cliente115@email.com,Madrid,2020-12-11,email,False
116,Marta Soto 116,cliente116@email.com,Barcelona,2020-12-14,google,False
117,Pablo Díaz 117,cliente117@email.com,Valencia,2020-12-17,facebook,False
118,Sara Vega 118,cliente118@email.com,Sevilla,2020-12-20,organico,False
119,Ana García 119,cliente119@email.com,Bilbao,2020-12-23,referido,True
120,Luis Martín 120,cliente120@email.com,Madrid,2020-12-26,email,False
121,Eva López 121,cliente121@email.com,Barcelona,2020-12-29,google,False
122,Carlos Ruiz 122,cliente122@email.com,Valencia,2021-01-01,facebook,False
123,Marta Soto 123,cliente123@email.com,Sevilla,2021-01-04,organico,False
124,Pablo Díaz 124,cliente124@email.com,Bilbao,2021-01-07,referido,False
125,Sara Vega 125,cliente125@email.com,Madrid,2021-01-10,email,False
126,Ana García 126,cliente126@email.com,Barcelona,2021-01-13,google,True
127,Luis Martín 127,cliente127@email.com,Valencia,2021-01-16,facebook,False
128,Eva López 128,cliente128@email.com,Sevilla,2021-01-19,organico,False
129,Carlos Ruiz 129,cliente129@email.com,Bilbao,2021-01-22,referido,False
130,Marta Soto 130,cliente130@email.com,Madrid,2021-01-25,email,False
131,Pablo Díaz 131,cliente131@email.com,Barcelona,2021-01-28,google,False
132,Sara Vega 132,cliente132@email.com,Valencia,2021-01-31,facebook,False
133,Ana García 133,cliente133@email.com,Sevilla,2021-02-03,organico,True
134,Luis Martín 134,cliente134@email.com,Bilbao,2021-02-06,referido,False
135,Eva López 135,cliente135@email.com,Madrid,2021-02-09,email,False
136,Carlos Ruiz 136,cliente136@email.com,Barcelona,2021-02-12,google,False
137,Marta Soto 137,cliente137@email.com,Valencia,2021-02-15,facebook,False
138,Pablo Díaz 138,cliente138@email.com,Sevilla,2021-02-18,organico,False
139,Sara Vega 139,cliente139@email.com,Bilbao,2021-02-21,referido,False
140,Ana García 140,cliente140@email.com,Madrid,2021-02-24,email,True
141,Luis Martín 141,cliente141@email.com,Barcelona,2021-02-27,google,False
142,Eva López 142,cliente142@email.com,Valencia,2021-03-02,facebook,False
143,Carlos Ruiz 143,cliente143@email.com,Sevilla,2021-03-05,organico,False
144,Marta Soto 144,cliente144@email.com,Bilbao,2021-03-08,referido,False
145,Pablo Díaz 145,cliente145@email.com,Madrid,2021-03-11,email,False
146,Sara Vega 146,cliente146@email.com,Barcelona,2021-03-14,google,False
147,Ana García 147,cliente147@email.com,Valencia,2021-03-17,facebook,True
148,Luis Martín 148,cliente148@email.com,Sevilla,2021-03-20,organico,False
149,Eva López 149,cliente149@email.com,Bilbao,2021-03-23,referido,False
150,Carlos Ruiz 150,cliente150@email.com,Madrid,2021-03-26,email,False
151,Marta Soto 151,cliente151@email.com,Barcelona,2021-03-29,google,False
152,Pablo Díaz 152,cliente152@email.com,Valencia,2021-04-01,facebook,False
153,Sara Vega 153,cliente153@email.com,Sevilla,2021-04-04,organico,False
154,Ana García 154,cliente154@email.com,Bilbao,2021-04-07,referido,True
155,Luis Martín 155,cliente155@email.com,Madrid,2021-04-10,email,False
156,Eva López 156,cliente156@email.com,Barcelona,2021-04-13,google,False
157,Carlos Ruiz 157,cliente157@email.com,Valencia,2021-04-16,facebook,False
158,Marta Soto 158,cliente158@email.com,Sevilla,2021-04-19,organico,False
159,Pablo Díaz 159,cliente159@email.com,Bilbao,2021-04-22,referido,False
160,Sara Vega 160,cliente160@email.com,Madrid,2021-04-25,email,False
161,Ana García 161,cliente161@email.com,Barcelona,2021-04-28,google,True
162,Luis Martín 162,cliente162@email.com,Valencia,2021-05-01,facebook,False
163,Eva López 163,cliente163@email.com,Sevilla,2021-05-04,organico,False
164,Carlos Ruiz 164,cliente164@email.com,Bilbao,2021-05-07,referido,False
165,Marta Soto 165,cliente165@email.com,Madrid,2021-05-10,email,False
166,Pablo Díaz 166,cliente166@email.com,Barcelona,2021-05-13,google,False
167,Sara Vega 167,cliente167@email.com,Valencia,2021-05-16,facebook,False
168,Ana García 168,cliente168@email.com,Sevilla,2021-05-19,organico,True
169,Luis Martín 169,cliente169@email.com,Bilbao,2021-05-22,referido,False
170,Eva López 170,cliente170@email.com,Madrid,2021-05-25,email,False
171,Carlos Ruiz 171,cliente171@email.com,Barcelona,2021-05-28,google,False
172,Marta Soto 172,cliente172@email.com,Valencia,2021-05-31,facebook,False
173,Pablo Díaz 173,cliente173@email.com,Sevilla,2021-06-03,organico,False
174,Sara Vega 174,cliente174@email.com,Bilbao,2021-06-06,referido,False
175,Ana García 175,cliente175@email.com,Madrid,2021-06-09,email,True
176,Luis Martín 176,cliente176@email.com,Barcelona,2021-06-12,google,False
177,Eva López 177,cliente177@email.com,Valencia,2021-06-15,facebook,False
178,Carlos Ruiz 178,cliente178@email.com,Sevilla,2021-06-18,organico,False
179,Marta Soto 179,cliente179@email.com,Bilbao,2021-06-21,referido,False
180,Pablo Díaz 180,cliente180@email.com,Madrid,2021-06-24,email,False
181,Sara Vega 181,cliente181@email.com,Barcelona,2021-06-27,google,False
182,Ana García 182,cliente182@email.com,Valencia,2021-06-30,facebook,True
183,Luis Martín 183,cliente183@email.com,Sevilla,2021-07-03,organico,False
184,Eva López 184,cliente184@email.com,Bilbao,2021-07-06,referido,False
185,Carlos Ruiz 185,cliente185@email.com,Madrid,2021-07-09,email,False
186,Marta Soto 186,cliente186@email.com,Barcelona,2021-07-12,google,False
187,Pablo Díaz 187,cliente187@email.com,Valencia,2021-07-15,facebook,False
188,Sara Vega 188,cliente188@email.com,Sevilla,2021-07-18,organico,False
189,Ana García 189,cliente189@email.com,Bilbao,2021-07-21,referido,True
190,Luis Martín 190,cliente190@email.com,Madrid,2021-07-24,email,False
191,Eva López 191,cliente191@email.com,Barcelona,2021-07-27,google,False
192,Carlos Ruiz 192,cliente192@email.com,Valencia,2021-07-30,facebook,False
193,Marta Soto 193,cliente193@email.com,Sevilla,2021-08-02,organico,False
194,Pablo Díaz 194,cliente194@email.com,Bilbao,2021-08-05,referido,False
195,Sara Vega 195,cliente195@email.com,Madrid,2021-08-08,email,False
196,Ana García 196,cliente196@email.com,Barcelona,2021-08-11,google,True
197,Luis Martín 197,cliente197@email.com,Valencia,2021-08-14,facebook,False
198,Eva López 198,cliente198@email.com,Sevilla,2021-08-17,organico,False
199,Carlos Ruiz 199,cliente199@email.com,Bilbao,2021-08-20,referido,False
200,Marta Soto 200,cliente200@email.com,Madrid,2021-08-23,email,False
201,Pablo Díaz 201,cliente201@email.com,Barcelona,2021-08-26,google,False
202,Sara Vega 202,cliente202@email.com,Valencia,2021-08-29,facebook,False
203,Ana García 203,cliente203@email.com,Sevilla,2021-09-01,organico,True
204,Luis Martín 204,cliente204@email.com,Bilbao,2021-09-04,referido,False
205,Eva López 205,cliente205@email.com,Madrid,2021-09-07,email,False
206,Carlos Ruiz 206,cliente206@email.com,Barcelona,2021-09-10,google,False
207,Marta Soto 207,cliente207@email.com,Valencia,2021-09-13,facebook,False
208,Pablo Díaz 208,cliente208@email.com,Sevilla,2021-09-16,organico,False
209,Sara Vega 209,cliente209@email.com,Bilbao,2021-09-19,referido,False
210,Ana García 210,cliente210@email.com,Madrid,2021-09-22,email,True
211,Luis Martín 211,cliente211@email.com,Barcelona,2021-09-25,google,False
212,Eva López 212,cliente212@email.com,Valencia,2021-09-28,facebook,False
213,Carlos Ruiz 213,cliente213@email.com,Sevilla,2021-10-01,organico,False
214,Marta Soto 214,cliente214@email.com,Bilbao,2021-10-04,referido,False
215,Pablo Díaz 215,cliente215@email.com,Madrid,2021-10-07,email,False
216,Sara Vega 216,cliente216@email.com,Barcelona,2021-10-10,google,False
217,Ana García 217,cliente217@email.com,Valencia,2021-10-13,facebook,True
218,Luis Martín 218,cliente218@email.com,Sevilla,2021-10-16,organico,False
219,Eva López 219,cliente219@email.com,Bilbao,2021-10-19,referido,False
220,Carlos Ruiz 220,cliente220@email.com,Madrid,2021-10-22,email,False
221,Marta Soto 221,cliente221@email.com,Barcelona,2021-10-25,google,False
222,Pablo Díaz 222,cliente222@email.com,Valencia,2021-10-28,facebook,False
223,Sara Vega 223,cliente223@email.com,Sevilla,2021-10-31,organico,False
224,Ana García 224,cliente224@email.com,Bilbao,2021-11-03,referido,True
225,Luis Martín 225,cliente225@email.com,Madrid,2021-11-06,email,False
226,Eva López 226,cliente226@email.com,Barcelona,2021-11-09,google,False
227,Carlos Ruiz 227,cliente227@email.com,Valencia,2021-11-12,facebook,False
228,Marta Soto 228,cliente228@email.com,Sevilla,2021-11-15,organico,False
229,Pablo Díaz 229,cliente229@email.com,Bilbao,2021-11-18,referido,False
230,Sara Vega 230,cliente230@email.com,Madrid,2021-11-21,email,False
231,Ana García 231,cliente231@email.com,Barcelona,2021-11-24,google,True
232,Luis Martín 232,cliente232@email.com,Valencia,2021-11-27,facebook,False
233,Eva López 233,cliente233@email.com,Sevilla,2021-11-30,organico,False
234,Carlos Ruiz 234,cliente234@email.com,Bilbao,2021-12-03,referido,False
235,Marta Soto 235,cliente235@email.com,Madrid,2021-12-06,email,False
236,Pablo Díaz 236,cliente236@email.com,Barcelona,2021-12-09,google,False
237,Sara Vega 237,cliente237@email.com,Valencia,2021-12-12,facebook,False
238,Ana García 238,cliente238@email.com,Sevilla,2021-12-15,organico,True
239,Luis Martín 239,cliente239@email.com,Bilbao,2021-12-18,referido,False
240,Eva López 240,cliente240@email.com,Madrid,2021-12-21,email,False
241,Carlos Ruiz 241,cliente241@email.com,Barcelona,2021-12-24,google,False
242,Marta Soto 242,cliente242@email.com,Valencia,2021-12-27,facebook,False
243,Pablo Díaz 243,cliente243@email.com,Sevilla,2021-12-30,organico,False
244,Sara Vega 244,cliente244@email.com,Bilbao,2022-01-02,referido,False
245,Ana García 245,cliente245@email.com,Madrid,2022-01-05,email,True
246,Luis Martín 246,cliente246@email.com,Barcelona,2022-01-08,google,False
247,Eva López 247,cliente247@email.com,Valencia,2022-01-11,facebook,False
248,Carlos Ruiz 248,cliente248@email.com,Sevilla,2022-01-14,organico,False
249,Marta Soto 249,cliente249@email.com,Bilbao,2022-01-17,referido,False
250,Pablo Díaz 250,cliente250@email.com,Madrid,2022-01-20,email,False
251,Sara Vega 251,cliente251@email.com,Barcelona,2022-01-23,google,False
252,Ana García 252,cliente252@email.com,Valencia,2022-01-26,facebook,True
253,Luis Martín 253,cliente253@email.com,Sevilla,2022-01-29,organico,False
254,Eva López 254,cliente254@email.com,Bilbao,2022-02-01,referido,False
255,Carlos Ruiz 255,cliente255@email.com,Madrid,2022-02-04,email,False
256,Marta Soto 256,cliente256@email.com,Barcelona,2022-02-07,google,False
257,Pablo Díaz 257,cliente257@email.com,Valencia,2022-02-10,facebook,False
258,Sara Vega 258,cliente258@email.com,Sevilla,2022-02-13,organico,False
259,Ana García 259,cliente259@email.com,Bilbao,2022-02-16,referido,True
260,Luis Martín 260,cliente260@email.com,Madrid,2022-02-19,email,False
261,Eva López 261,cliente261@email.com,Barcelona,2022-02-22,google,False
262,Carlos Ruiz 262,cliente262@email.com,Valencia,2022-02-25,facebook,False
263,Marta Soto 263,cliente263@email.com,Sevilla,2022-02-28,organico,False
264,Pablo Díaz 264,cliente264@email.com,Bilbao,2022-03-03,referido,False
265,Sara Vega 265,cliente265@email.com,Madrid,2022-03-06,email,False
266,Ana García 266,cliente266@email.com,Barcelona,2022-03-09,google,True
267,Luis Martín 267,cliente267@email.com,Valencia,2022-03-12,facebook,False
268,Eva López 268,cliente268@email.com,Sevilla,2022-03-15,organico,False
269,Carlos Ruiz 269,cliente269@email.com,Bilbao,2022-03-18,referido,False
270,Marta Soto 270,cliente270@email.com,Madrid,2022-03-21,email,False
271,Pablo Díaz 271,cliente271@email.com,Barcelona,2022-03-24,google,False
272,Sara Vega 272,cliente272@email.com,Valencia,2022-03-27,facebook,False
273,Ana García 273,cliente273@email.com,Sevilla,2022-03-30,organico,True
274,Luis Martín 274,cliente274@email.com,Bilbao,2022-04-02,referido,False
275,Eva López 275,cliente275@email.com,Madrid,2022-04-05,email,False
276,Carlos Ruiz 276,cliente276@email.com,Barcelona,2022-04-08,google,False
277,Marta Soto 277,cliente277@email.com,Valencia,2022-04-11,facebook,False
278,Pablo Díaz 278,cliente278@email.com,Sevilla,2022-04-14,organico,False
279,Sara Vega 279,cliente279@email.com,Bilbao,2022-04-17,referido,False
280,Ana García 280,cliente280@email.com,Madrid,2022-04-20,email,True
281,Luis Martín 281,cliente281@email.com,Barcelona,2022-04-23,google,False
282,Eva López 282,cliente282@email.com,Valencia,2022-04-26,facebook,False
283,Carlos Ruiz 283,cliente283@email.com,Sevilla,2022-04-29,organico,False
284,Marta Soto 284,cliente284@email.com,Bilbao,2022-05-02,referido,False
285,Pablo Díaz 285,cliente285@email.com,Madrid,2022-05-05,email,False
286,Sara Vega 286,cliente286@email.com,Barcelona,2022-05-08,google,False
287,Ana García 287,cliente287@email.com,Valencia,2022-05-11,facebook,True
288,Luis Martín 288,cliente288@email.com,Sevilla,2022-05-14,organico,False
289,Eva López 289,cliente289@email.com,Bilbao,2022-05-17,referido,False
290,Carlos Ruiz 290,cliente290@email.com,Madrid,2022-05-20,email,False
291,Marta Soto 291,cliente291@email.com,Barcelona,2022-05-23,google,False
292,Pablo Díaz 292,cliente292@email.com,Valencia,2022-05-26,facebook,False
293,Sara Vega 293,cliente293@email.com,Sevilla,2022-05-29,organico,False
294,Ana García 294,cliente294@email.com,Bilbao,2022-06-01,referido,True
295,Luis Martín 295,cliente295@email.com,Madrid,2022-06-04,email,False
296,Eva López 296,cliente296@email.com,Barcelona,2022-06-07,google,False
297,Carlos Ruiz 297,cliente297@email.com,Valencia,2022-06-10,facebook,False
298,Marta Soto 298,cliente298@email.com,Sevilla,2022-06-13,organico,False
299,Pablo Díaz 299,cliente299@email.com,Bilbao,2022-06-16,referido,False
300,Sara Vega 300,cliente300@email.com,Madrid,2022-06-19,email,False
301,Ana García 301,cliente301@email.com,Barcelona,2022-06-22,google,True
302,Luis Martín 302,cliente302@email.com,Valencia,2022-06-25,facebook,False
303,Eva López 303,cliente303@email.com,Sevilla,2022-06-28,organico,False
304,Carlos Ruiz 304,cliente304@email.com,Bilbao,2022-07-01,referido,False
305,Marta Soto 305,cliente305@email.com,Madrid,2022-07-04,email,False
306,Pablo Díaz 306,cliente306@email.com,Barcelona,2022-07-07,google,False
307,Sara Vega 307,cliente307@email.com,Valencia,2022-07-10,facebook,False
308,Ana García 308,cliente308@email.com,Sevilla,2022-07-13,organico,True
309,Luis Martín 309,cliente309@email.com,Bilbao,2022-07-16,referido,False
310,Eva López 310,cliente310@email.com,Madrid,2022-07-19,email,False
311,Carlos Ruiz 311,cliente311@email.com,Barcelona,2022-07-22,google,False
312,Marta Soto 312,cliente312@email.com,Valencia,2022-07-25,facebook,False
313,Pablo Díaz 313,cliente313@email.com,Sevilla,2022-07-28,organico,False
314,Sara Vega 314,cliente314@email.com,Bilbao,2022-07-31,referido,False
315,Ana García 315,cliente315@email.com,Madrid,2022-08-03,email,True
316,Luis Martín 316,cliente316@email.com,Barcelona,2022-08-06,google,False
317,Eva López 317,cliente317@email.com,Valencia,2022-08-09,facebook,False
318,Carlos Ruiz 318,cliente318@email.com,Sevilla,2022-08-12,organico,False
319,Marta Soto 319,cliente319@email.com,Bilbao,2022-08-15,referido,False
320,Pablo Díaz 320,cliente320@email.com,Madrid,2022-08-18,email,False
321,Sara Vega 321,cliente321@email.com,Barcelona,2022-08-21,google,False
322,Ana García 322,cliente322@email.com,Valencia,2022-08-24,facebook,True
323,Luis Martín 323,cliente323@email.com,Sevilla,2022-08-27,organico,False
324,Eva López 324,cliente324@email.com,Bilbao,2022-08-30,referido,False
325,Carlos Ruiz 325,cliente325@email.com,Madrid,2022-09-02,email,False
326,Marta Soto 326,cliente326@email.com,Barcelona,2022-09-05,google,False
327,Pablo Díaz 327,cliente327@email.com,Valencia,2022-09-08,facebook,False
328,Sara Vega 328,cliente328@email.com,Sevilla,2022-09-11,organico,False
329,Ana García 329,cliente329@email.com,Bilbao,2022-09-14,referido,True
330,Luis Martín 330,cliente330@email.com,Madrid,2022-09-17,email,False
331,Eva López 331,cliente331@email.com,Barcelona,2022-09-20,google,False
332,Carlos Ruiz 332,cliente332@email.com,Valencia,2022-09-23,facebook,False
333,Marta Soto 333,cliente333@email.com,Sevilla,2022-09-26,organico,False
334,Pablo Díaz 334,cliente334@email.com,Bilbao,2022-09-29,referido,False
335,Sara Vega 335,cliente335@email.com,Madrid,2022-10-02,email,False
336,Ana García 336,cliente336@email.com,Barcelona,2022-10-05,google,True
337,Luis Martín 337,cliente337@email.com,Valencia,2022-10-08,facebook,False
338,Eva López 338,cliente338@email.com,Sevilla,2022-10-11,organico,False
339,Carlos Ruiz 339,cliente339@email.com,Bilbao,2022-10-14,referido,False
340,Marta Soto 340,cliente340@email.com,Madrid,2022-10-17,email,False
341,Pablo Díaz 341,cliente341@email.com,Barcelona,2022-10-20,google,False
342,Sara Vega 342,cliente342@email.com,Valencia,2022-10-23,facebook,False
343,Ana García 343,cliente343@email.com,Sevilla,2022-10-26,organico,True
344,Luis Martín 344,cliente344@email.com,Bilbao,2022-10-29,referido,False
345,Eva López 345,cliente345@email.com,Madrid,2022-11-01,email,False
346,Carlos Ruiz 346,cliente346@email.com,Barcelona,2022-11-04,google,False
347,Marta Soto 347,cliente347@email.com,Valencia,2022-11-07,facebook,False
348,Pablo Díaz 348,cliente348@email.com,Sevilla,2022-11-10,organico,False
349,Sara Vega 349,cliente349@email.com,Bilbao,2022-11-13,referido,False
350,Ana García 350,cliente350@email.com,Madrid,2022-11-16,email,True
351,Luis Martín 351,cliente351@email.com,Barcelona,2022-11-19,google,False
352,Eva López 352,cliente352@email.com,Valencia,2022-11-22,facebook,False
353,Carlos Ruiz 353,cliente353@email.com,Sevilla,2022-11-25,organico,False
354,Marta Soto 354,cliente354@email.com,Bilbao,2022-11-28,referido,False
355,Pablo Díaz 355,cliente355@email.com,Madrid,2022-12-01,email,False
356,Sara Vega 356,cliente356@email.com,Barcelona,2022-12-04,google,False
357,Ana García 357,cliente357@email.com,Valencia,2022-12-07,facebook,True
358,Luis Martín 358,cliente358@email.com,Sevilla,2022-12-10,organico,False
359,Eva López 359,cliente359@email.com,Bilbao,2022-12-13,referido,False
360,Carlos Ruiz 360,cliente360@email.com,Madrid,2022-12-16,email,False
361,Marta Soto 361,cliente361@email.com,Barcelona,2022-12-19,google,False
362,Pablo Díaz 362,cliente362@email.com,Valencia,2022-12-22,facebook,False
363,Sara Vega 363,cliente363@email.com,Sevilla,2022-12-25,organico,False
364,Ana García 364,cliente364@email.com,Bilbao,2022-12-28,referido,True
365,Luis Martín 365,cliente365@email.com,Madrid,2022-12-31,email,False
366,Eva López 366,cliente366@email.com,Barcelona,2023-01-03,google,False
367,Carlos Ruiz 367,cliente367@email.com,Valencia,2023-01-06,facebook,False
368,Marta Soto 368,cliente368@email.com,Sevilla,2023-01-09,organico,False
369,Pablo Díaz 369,cliente369@email.com,Bilbao,2023-01-12,referido,False
370,Sara Vega 370,cliente370@email.com,Madrid,2023-01-15,email,False
371,Ana García 371,cliente371@email.com,Barcelona,2023-01-18,google,True
